Name,Type 1,Type 2,Ability1,Ability2,Ability_Hidden,hasHP,hasAttack,hasDefense,hasSpAttack,hasSpDefense,hasSpeed,hasBST,Generation,hasExpToLvl100,esEvolucionFinal,hasCatchRate,isLegendary,Mega Evolution,Alolan Form,Galarian Form,hasHeight,hasWeight,hasBMI,Dataset_Pokedex.hasGenderMaleRatio,Dataset_Pokedex.hasGenderFemaleRatio,Dataset_Pokedex.hasEggSteps,Dataset_Pokedex.Egg_Group1,Dataset_Pokedex.Egg_Group2,Dataset_Pokedex.hasBaseExperience,Dataset_Pokedex.Category,Kanto.Moves
Mega Charizard X,Fire,Dragon,Tough Claws,,,78,130,111,130,85,100,634,6,1059860,VERDADERO,45,FALSO,VERDADERO,FALSO,FALSO,1.7,110.5,38.2,87.5,12.5,20,Monster,Dragon,285,Ordinary,
Blastoise,Water,,Rain Dish, Torrent,,79,83,100,85,105,78,530,1,1059860,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.6,85.5,33.4,87.5,12.5,20,Monster,Water1,265,Ordinary,"mega-punch, normal, ice-punch, ice, mega-kick, normal, headbutt, normal, tackle, normal, body-slam, normal, take-down, normal, double-edge, normal, tail-whip, normal, bite, dark, roar, normal, mist, ice, water-gun, water, hydro-pump, water, surf, water, ice-beam, ice, blizzard, ice, bubble-beam, water, hyper-beam, normal, submission, fighting, counter, fighting, seismic-toss, fighting, strength, normal, earthquake, ground, fissure, ground, dig, ground, toxic, poison, rage, normal, mimic, normal, double-team, normal, withdraw, water, defense-curl, normal, haze, ice, reflect, psychic, bide, normal, waterfall, water, skull-bash, normal, bubble, water, rest, psychic, rock-slide, rock, substitute, normal, snore, normal, curse, ghost, flail, normal, protect, normal, scary-face, normal, mud-slap, ground, icy-wind, ice, outrage, dragon, endure, normal, rollout, rock, false-swipe, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, dynamic-punch, fighting, rapid-spin, normal, iron-tail, steel, hidden-power, normal, rain-dance, water, crunch, dark, mirror-coat, psychic, rock-smash, fighting, whirlpool, water, fake-out, normal, hail, ice, facade, normal, focus-punch, fighting, helping-hand, normal, brick-break, fighting, yawn, normal, secret-power, normal, dive, water, hydro-cannon, water, weather-ball, normal, rock-tomb, rock, water-spout, water, signal-beam, bug, muddy-water, water, iron-defense, steel, mud-shot, ground, water-pulse, water, gyro-ball, steel, brine, water, natural-gift, normal, fling, dark, aqua-ring, water, aura-sphere, fighting, dark-pulse, dark, aqua-tail, water, dragon-pulse, dragon, focus-blast, fighting, giga-impact, normal, avalanche, ice, zen-headbutt, psychic, flash-cannon, steel, rock-climb, normal, captivate, normal, aqua-jet, water, smack-down, rock, round, normal, scald, water, shell-smash, normal, water-pledge, water, bulldoze, ground, dragon-tail, dragon, work-up, normal, confide, normal, power-up-punch, fighting, liquidation, water, body-press, fighting, life-dew, water, terrain-pulse, normal, flip-turn, water, wave-crash, water, tera-blast, normal, ice-spinner, ice, chilling-water, water"
Caterpie,Bug,,Run Away, Shield Dust,,45,30,35,20,20,45,195,1,1000000,FALSO,255,FALSO,FALSO,FALSO,FALSO,0.3,2.9,32.2,50,50,15,Bug,,39,Ordinary,"tackle, normal, string-shot, bug, snore, normal, bug-bite, bug, electroweb, electric"
Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,205,1,1000000,FALSO,120,FALSO,FALSO,FALSO,FALSO,0.7,9.9,20.2,50,50,15,Bug,,72,Ordinary,"string-shot, bug, harden, normal, iron-defense, steel, bug-bite, bug, electroweb, electric"
Butterfree,Bug,Flying,Tinted Lens,,,60,45,50,90,80,70,395,1,1000000,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.1,32,26.4,50,50,15,Bug,,198,Ordinary,"razor-wind, normal, gust, flying, whirlwind, normal, headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, supersonic, normal, psybeam, psychic, hyper-beam, normal, mega-drain, grass, solar-beam, grass, poison-powder, poison, stun-spore, grass, sleep-powder, grass, string-shot, bug, toxic, poison, confusion, psychic, psychic, psychic, rage, normal, teleport, psychic, mimic, normal, double-team, normal, harden, normal, reflect, psychic, bide, normal, swift, normal, dream-eater, psychic, flash, normal, psywave, psychic, rest, psychic, substitute, normal, thief, dark, nightmare, ghost, snore, normal, curse, ghost, protect, normal, giga-drain, grass, endure, normal, swagger, normal, attract, normal, sleep-talk, normal, return, normal, frustration, normal, safeguard, normal, baton-pass, normal, sweet-scent, normal, hidden-power, normal, twister, dragon, rain-dance, water, sunny-day, fire, psych-up, normal, shadow-ball, ghost, facade, normal, skill-swap, psychic, secret-power, normal, air-cutter, flying, silver-wind, bug, signal-beam, bug, aerial-ace, flying, iron-defense, steel, roost, flying, natural-gift, normal, tailwind, flying, u-turn, bug, air-slash, flying, bug-buzz, bug, energy-ball, grass, giga-impact, normal, defog, flying, captivate, normal, bug-bite, bug, ominous-wind, ghost, venoshock, poison, rage-powder, bug, quiver-dance, bug, round, normal, acrobatics, flying, struggle-bug, bug, electroweb, electric, hurricane, flying, draining-kiss, fairy, confide, normal, infestation, bug, pollen-puff, bug, dual-wingbeat, flying"
Mega Blastoise,Water,,Mega Launcher,,,79,103,120,135,115,78,630,6,1059860,VERDADERO,45,FALSO,VERDADERO,FALSO,FALSO,1.6,101.1,39.5,87.5,12.5,20,Monster,Water1,284,Ordinary,
Weedle,Bug,Poison,Run Away, Shield Dust,,40,35,30,20,20,50,195,1,1000000,FALSO,255,FALSO,FALSO,FALSO,FALSO,0.3,3.2,35.6,50,50,15,Bug,,39,Ordinary,"poison-sting, poison, string-shot, bug, bug-bite, bug, electroweb, electric"
Kakuna,Bug,Poison,Shed Skin,,,45,25,50,25,25,35,205,1,1000000,FALSO,120,FALSO,FALSO,FALSO,FALSO,0.6,10,27.8,50,50,15,Bug,,72,Ordinary,"string-shot, bug, harden, normal, iron-defense, steel, bug-bite, bug, electroweb, electric"
Beedrill,Bug,Poison,Sniper, Swarm,,65,90,40,45,80,75,395,1,1000000,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1,29.5,29.5,50,50,15,Bug,,198,Ordinary,"swords-dance, normal, cut, normal, headbutt, normal, fury-attack, normal, take-down, normal, double-edge, normal, poison-sting, poison, twineedle, bug, pin-missile, bug, hyper-beam, normal, peck, flying, mega-drain, grass, solar-beam, grass, string-shot, bug, toxic, poison, agility, psychic, rage, normal, mimic, normal, double-team, normal, harden, normal, reflect, psychic, focus-energy, normal, bide, normal, swift, normal, skull-bash, normal, flash, normal, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, sludge-bomb, poison, outrage, dragon, giga-drain, grass, endure, normal, false-swipe, normal, swagger, normal, fury-cutter, bug, attract, normal, sleep-talk, normal, return, normal, frustration, normal, pursuit, dark, sweet-scent, normal, hidden-power, normal, sunny-day, fire, rock-smash, fighting, facade, normal, brick-break, fighting, knock-off, dark, endeavor, normal, secret-power, normal, air-cutter, flying, silver-wind, bug, aerial-ace, flying, roost, flying, natural-gift, normal, tailwind, flying, u-turn, bug, payback, dark, assurance, dark, toxic-spikes, poison, poison-jab, poison, x-scissor, bug, giga-impact, normal, defog, flying, captivate, normal, bug-bite, bug, ominous-wind, ghost, venoshock, poison, round, normal, acrobatics, flying, struggle-bug, bug, electroweb, electric, drill-run, ground, fell-stinger, bug, confide, normal, infestation, bug, laser-focus, normal, throat-chop, dark, brutal-swing, dark"
Pidgey,Normal,Flying,Big Pecks, Keen Eye, Tangled Feet,40,45,40,35,35,56,251,1,1059860,FALSO,255,FALSO,FALSO,FALSO,FALSO,0.3,1.8,20,50,50,15,Flying,,50,Ordinary,"razor-wind, normal, gust, flying, wing-attack, flying, whirlwind, normal, fly, flying, sand-attack, ground, headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, toxic, poison, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, mirror-move, flying, swift, normal, sky-attack, flying, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, feint-attack, dark, mud-slap, ground, foresight, normal, detect, fighting, endure, normal, swagger, normal, steel-wing, steel, attract, normal, sleep-talk, normal, return, normal, frustration, normal, pursuit, dark, hidden-power, normal, twister, dragon, rain-dance, water, sunny-day, fire, uproar, normal, heat-wave, fire, facade, normal, secret-power, normal, feather-dance, flying, air-cutter, flying, aerial-ace, flying, roost, flying, natural-gift, normal, pluck, flying, tailwind, flying, u-turn, bug, air-slash, flying, brave-bird, flying, defog, flying, captivate, normal, ominous-wind, ghost, round, normal, work-up, normal, hurricane, flying, confide, normal"
Pidgeotto,Normal,Flying,Big Pecks, Keen Eye, Tangled Feet,63,60,55,50,50,71,349,1,1059860,FALSO,120,FALSO,FALSO,FALSO,FALSO,1.1,30,24.8,50,50,15,Flying,,122,Ordinary,"razor-wind, normal, gust, flying, wing-attack, flying, whirlwind, normal, fly, flying, sand-attack, ground, headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, toxic, poison, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, mirror-move, flying, swift, normal, sky-attack, flying, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, mud-slap, ground, detect, fighting, endure, normal, swagger, normal, steel-wing, steel, attract, normal, sleep-talk, normal, return, normal, frustration, normal, hidden-power, normal, twister, dragon, rain-dance, water, sunny-day, fire, uproar, normal, heat-wave, fire, facade, normal, secret-power, normal, feather-dance, flying, air-cutter, flying, aerial-ace, flying, roost, flying, natural-gift, normal, pluck, flying, tailwind, flying, u-turn, bug, air-slash, flying, defog, flying, captivate, normal, ominous-wind, ghost, round, normal, work-up, normal, hurricane, flying, confide, normal"
Pidgeot,Normal,Flying,Big Pecks, Keen Eye, Tangled Feet,83,80,75,70,70,101,479,1,1059860,VERDADERO,45,FALSO,FALSO,FALSO,FALSO,1.5,39.5,17.6,50,50,15,Flying,,240,Ordinary,"razor-wind, normal, gust, flying, wing-attack, flying, whirlwind, normal, fly, flying, sand-attack, ground, headbutt, normal, tackle, normal, take-down, normal, double-edge, normal, hyper-beam, normal, toxic, poison, agility, psychic, quick-attack, normal, rage, normal, mimic, normal, double-team, normal, reflect, psychic, bide, normal, mirror-move, flying, swift, normal, sky-attack, flying, rest, psychic, substitute, normal, thief, dark, snore, normal, curse, ghost, protect, normal, mud-slap, ground, detect, fighting, endure, normal, swagger, normal, steel-wing, steel, attract, normal, sleep-talk, normal, return, normal, frustration, normal, hidden-power, normal, twister, dragon, rain-dance, water, sunny-day, fire, uproar, normal, heat-wave, fire, facade, normal, secret-power, normal, feather-dance, flying, air-cutter, flying, aerial-ace, flying, roost, flying, natural-gift, normal, pluck, flying, tailwind, flying, u-turn, bug, air-slash, flying, giga-impact, normal, defog, flying, captivate, normal, ominous-wind, ghost, round, normal, work-up, normal, hurricane, flying, confide, normal, laser-focus, normal"
